Time,seasonal
2014-10-07 22:40:00,3.710527945777309
2014-10-07 22:50:00,1.450180443639522
2014-10-07 23:00:00,10.541449432126457
2014-10-07 23:10:00,15.419293236335257
2014-10-07 23:20:00,13.295216670028283
2014-10-07 23:30:00,11.039524801746678
2014-10-07 23:40:00,6.275838171647339
2014-10-07 23:50:00,5.477984482461899
2014-10-08 00:00:00,10.966931576920402
2014-10-08 00:10:00,11.971109812177508
2014-10-08 00:20:00,4.830496258300252
2014-10-08 00:30:00,0.2635839740679359
2014-10-08 00:40:00,-1.8743642753494105
2014-10-08 00:50:00,-7.228015953416815
2014-10-08 01:00:00,-8.008834562068726
2014-10-08 01:10:00,-6.8469201787672604
2014-10-08 01:20:00,-6.770590859039583
2014-10-08 01:30:00,-6.125776965782395
